"","AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","MS","MT","NC","ND","NE","NH","NJ","NM","NV","NY","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VA","VT","WA","WI","WV","WY"
"GA",6.53501094926486e-05,0.000221903946108289,0.000189206932980397,5.80686582566876e-05,6.37634707690908e-05,6.04896970270407e-05,6.15657995696357e-05,6.67882132608349e-05,0.000154957912214678,9.78450162249713e-05,0.000301449123768749,6.25968677015107e-05,0.000124525732973164,0.000115471174739144,6.978342730311e-05,0.000161967159590199,0.000132110036731266,0.00016684424097579,0.000250367030821901,6.34053530574126e-05,0.000100829655777231,9.16244703338318e-05,0.000151740657785499,0.000101406846790683,0.000167042985438086,0.00024930945169501,0.000109661475690378,0.000211850934616113,0.000122670455968492,0.000113140934173432,7.37005432972033e-05,6.96511021098507e-05,6.91166455907248e-05,6.23983203285157e-05,7.10765859829334e-05,0.000154128111045049,0.00015061644124355,7.78469472367747e-05,0.000123146838400415,6.14809283071848e-05,0.000228624954794029,0.000122344351821734,0.000193699859967595,6.77321151180574e-05,6.35195523225537e-05,0.000155365100349351,6.48978401701052e-05,5.80869658952521e-05,0.000111881003644939,0.000155593493339196,0.00012690661918688
"HI",7.03568634213912e-05,6.95151543391572e-05,6.70372641440739e-05,0.000151926229817832,0.000233937668008024,6.48010697895144e-05,8.57171275157138e-05,8.0208207954378e-05,6.40579443281177e-05,0.000100738891975084,6.25968677015107e-05,0.000297069891566306,6.19034643543005e-05,6.24847690502358e-05,7.01048874892154e-05,6.30686998924478e-05,6.50497132527512e-05,6.48230689960734e-05,6.8619584893377e-05,7.64655553429859e-05,6.41122152978136e-05,6.37481870882328e-05,6.24816905155164e-05,6.35671826182572e-05,6.38801581714509e-05,6.32031059527974e-05,6.28195391896086e-05,6.63464714344239e-05,6.56906063332274e-05,6.32401058185339e-05,6.46082345464936e-05,0.000138499795741509,0.000233623339155764,0.000161364334499806,0.000126849230535913,6.25817538692687e-05,6.51631678977841e-05,6.36148056893282e-05,6.30881045794647e-05,7.65031250973834e-05,6.74521052064773e-05,6.45213265731449e-05,6.66571540381894e-05,0.000166280868742942,6.35792066112793e-05,6.68588123196052e-05,6.48903560547779e-05,7.08450415954128e-05,6.24375623487772e-05,6.37993486518573e-05,6.55846381457161e-05
"IA",0.00020716324891951,0.000193205968274925,0.000221268733673265,0.000143645974770902,6.1278833305581e-05,0.000193234227510357,0.000152502870679458,6.36392480811073e-05,0.000187452833735597,0.000147019799752346,0.000124525732973164,6.19034643543005e-05,0.000294330665519854,0.000253222188129111,0.000155503335425822,0.000252331067028872,0.000243240971409527,0.000244596201602121,0.000160742957119203,0.000141892867677798,6.40669028538387e-05,0.000239740490748208,0.000245101064626014,0.000252656137777196,0.000252080927395812,0.000148339728890412,0.000258589756639977,0.000212782336455208,0.000250836452451992,0.000255068007303306,0.000231748489504503,7.52917995847151e-05,6.78477303210589e-05,0.000100432537239927,7.11047058572978e-05,0.00025006243561829,0.000206974894075061,0.000244609282985781,0.000236441813991996,0.000183010009731095,0.000191896840072446,0.000254467811465375,0.000221851034105183,6.8795458051263e-05,0.000181118968569811,0.000203018213984728,0.000219044743378766,0.000211423395271276,0.000255072452068468,0.000248022329410884,0.000247711462125258
"ID",0.000227815586627663,0.000186064190310998,0.000219556771234104,0.00016027659555215,6.24124817584146e-05,0.000203567179448048,0.000129267081753391,6.47868897193978e-05,0.000155045382807784,0.00013778833049683,0.000115471174739144,6.24847690502358e-05,0.000253222188129111,0.000294080057968656,0.000145539216624953,0.000252358209569726,0.000251222538060178,0.000243869286173943,0.000152771811336181,0.000124753601945304,6.14706042135829e-05,0.000213069809636384,0.000227934219801563,0.000242258920880601,0.000246197869701015,0.000137520898746076,0.000246380567478568,0.000196602199123015,0.000256169530341045,0.00026148893551656,0.000209151869834207,7.15151098299647e-05,6.86674703467197e-05,0.000112328386820392,7.19312597674956e-05,0.000238467177800124,0.000225376665957481,0.000239288228667777,0.000221804253430128,0.000170398425609967,0.000176818382992113,0.00025471770379933,0.000220978511613231,7.80154271213398e-05,0.000208425344907108,0.00017786333272961,0.000184994074772031,0.000207323844402467,0.000239292170266146,0.000242276929968111,0.000253777318175022
"IL",8.78432520635833e-05,6.96380165616489e-05,8.40607316880671e-05,0.00018537413456878,0.000115846562614493,0.000179673036556921,0.000233088100936004,8.06684262786511e-05,0.00021241621635431,0.000195100335813576,6.978342730311e-05,7.01048874892154e-05,0.000155503335425822,0.000145539216624953,0.000307173563038449,0.000142208210893015,0.00011905847684704,0.000118767331143346,8.04104810127326e-05,0.000232325291720758,0.000147252194487334,0.000170589933026696,0.000195736554516206,0.000183760757889611,0.000139721688380983,5.97549201361805e-05,0.000136330136256896,9.93652817513329e-05,0.000127012431549395,0.000163186552614306,0.000188320620021428,0.000214277652222183,7.75003910398438e-05,0.000191831576769672,0.000221895114999785,0.000184865717343766,7.43630446335172e-05,0.000193355751080651,0.000214199826301182,0.000255761629340519,8.53486963065855e-05,0.000123840435135682,9.636542698809e-05,6.76595203947481e-05,0.000168223105161407,0.000185314474122764,0.000172595199377729,0.000223018656605388,0.000190292556309402,0.000120781790414306,0.000114235774552729
"IN",0.00020201395973553,0.000220720469516891,0.000243036502925792,0.000137260321468704,6.22333674232765e-05,0.000179521038460739,0.000118118723765016,6.39513370027321e-05,0.000177439321824088,0.000148328955632266,0.000161967159590199,6.30686998924478e-05,0.000252331067028872,0.000252358209569726,0.000142208210893015,0.000292320651652024,0.000251351075641347,0.000258690073337692,0.00019396556303716,0.000109073758865892,6.44154091644864e-05,0.00021065502467874,0.000241213336637185,0.000236722888010805,0.000260256042686261,0.00018031854348442,0.000241471667090755,0.000235686568801681,0.000248744464789166,0.000249845362153121,0.00020026374756684,6.95762150344137e-05,6.69737980488081e-05,0.000101819801835443,6.96505067116969e-05,0.000250271030288467,0.000231285324059356,0.00022993777794356,0.000226846362524748,0.000156649188454562,0.000218312313328513,0.000250545961487364,0.000247357106578426,6.8340224104283e-05,0.000176743207226366,0.000197913096246499,0.000176847309409375,0.000187947134987612,0.000238296337793222,0.000253851852881978,0.000249005800893166
"KS",0.000221269403031274,0.000205565151535442,0.000237955357400009,0.000129368384043854,6.32722938102968e-05,0.000200238759055811,0.000105338428532879,6.68170911574795e-05,0.00013638585946795,0.000118363636377881,0.000132110036731266,6.50497132527512e-05,0.000243240971409527,0.000251222538060178,0.00011905847684704,0.000251351075641347,0.000291328128342052,0.000253342210259682,0.000162230731068566,0.000104611780348257,6.09900739778426e-05,0.000197060697751308,0.000213871319532051,0.000234530485646784,0.000249333455505946,0.000158141312573311,0.000242564302856981,0.0002175447913824,0.000254006847471857,0.00024638167647963,0.000194309045227358,6.58539742597385e-05,6.52350991698319e-05,7.82638712680488e-05,6.53400024885683e-05,0.000226758296320654,0.000241300287461451,0.000229036499814157,0.00020572944575498,0.000140647903153351,0.000194076816587271,0.000254695082696723,0.000241211804998764,6.65977366742934e-05,0.000181567200275852,0.000186039769577529,0.000169125850754394,0.000186612331257394,0.000222140174059748,0.000246293708245772,0.000255121066584904
"KY",0.000203472015680985,0.000232784338269885,0.000254035044888254,0.000121224524200374,6.30624766810211e-05,0.000167214054436276,0.000102906307012722,6.58076597381056e-05,0.00016555375885934,0.000140904880881795,0.00016684424097579,6.48230689960734e-05,0.000244596201602121,0.000243869286173943,0.000118767331143346,0.000258690073337692,0.000253342210259682,0.000291879428228491,0.000198069203279255,9.08431010422797e-05,6.35736685453397e-05,0.000204621156117901,0.000229715220678178,0.000225671170034814,0.00025804327336569,0.000191292125893713,0.000240736161816092,0.000244532618901999,0.000247082665527073,0.000238047673703858,0.000192277872882755,6.48928530434917e-05,6.54940785212771e-05,8.45259811872043e-05,6.41855162129402e-05,0.000239298423740138,0.000241927333843632,0.000218730107942482,0.000214597510452091,0.000136497413354004,0.000227722752517392,0.000251839528692109,0.000256615329832758,6.60568044578636e-05,0.000156309775949937,0.000191173499095034,0.000169757276019192,0.000170051324234613,0.0002266505480677,0.000258343762560921,0.0002527526761414
"LA",9.4919992195672e-05,0.000243835706105834,0.000218209432047307,6.48780890767264e-05,6.40109183735438e-05,6.5449802670087e-05,6.50625332437835e-05,6.48753490326792e-05,0.000168762133315895,0.00011249810119627,0.000250367030821901,6.8619584893377e-05,0.000160742957119203,0.000152771811336181,8.04104810127326e-05,0.00019396556303716,0.000162230731068566,0.000198069203279255,0.000293873469156778,6.31199299491619e-05,8.44710587762164e-05,0.000127093785016511,0.000181851771852766,0.000133730022876367,0.000197760147794056,0.000247809534622189,0.000145329021352983,0.000231384466721499,0.000161143073083849,0.000150134623664937,0.000106224905632679,6.22204362526221e-05,6.18605811491711e-05,6.65092622043155e-05,6.27717280447146e-05,0.000186153807175543,0.000177550400461482,0.000108722260820305,0.000151856294423331,7.03042000821482e-05,0.00024769552257216,0.000160123889218842,0.000218692737301056,6.50647779031583e-05,8.7736232155777e-05,0.000163864765209173,9.40081660954622e-05,6.98968588858036e-05,0.000148509083970303,0.000188632835247098,0.000164890834081373
"MA",8.03381214663144e-05,6.1369358603569e-05,6.62228388773413e-05,0.000162924453957536,0.000107024722593966,0.000196295594878769,0.000257144705291121,9.36974454071386e-05,0.000180914879129038,0.00015496070351337,6.34053530574126e-05,7.64655553429859e-05,0.000141892867677798,0.000124753601945304,0.000232325291720758,0.000109073758865892,0.000104611780348257,9.08431010422797e-05,6.31199299491619e-05,0.000305906802306867,0.000144245937523103,0.000179501790013126,0.000164712637678337,0.000180949128778125,0.000115101712895232,5.85865073912417e-05,0.000137600948688201,7.18015016103624e-05,0.000117409040226399,0.000147766548827482,0.000203463354655807,0.00022596888833157,7.82320228226236e-05,0.000147465465310333,0.000208905611642827,0.000154429188720808,6.15155181843525e-05,0.000180527954530596,0.000190665778700441,0.000242629502035735,6.61995672818213e-05,0.000112867348026941,7.05786318143597e-05,6.48034231239007e-05,0.000155402704350785,0.000183189519596551,0.000199069690852937,0.000219345920714502,0.000176222212285214,9.87434055482157e-05,0.000103315608170639
"MD",5.68765835444521e-05,6.83304993422261e-05,6.42298718156028e-05,6.7968362801174e-05,7.22186603116931e-05,6.89715777969814e-05,0.000147443241073841,0.000198803305220584,0.000157007683188283,0.000117376060558562,0.000100829655777231,6.41122152978136e-05,6.40669028538387e-05,6.14706042135829e-05,0.000147252194487334,6.44154091644864e-05,6.09900739778426e-05,6.35736685453397e-05,8.44710587762164e-05,0.000144245937523103,0.000314789754986975,7.22487780831695e-05,8.94792945210205e-05,6.96186402531843e-05,6.63101710952539e-05,6.9606377147607e-05,6.28925190579029e-05,6.84720481818532e-05,6.19515927625937e-05,6.4685812543884e-05,8.3086663144587e-05,0.000173779259470612,6.39077453554357e-05,7.48946545685984e-05,0.000184594577600064,7.52276691183186e-05,6.19110290314701e-05,6.81774885196413e-05,9.76671469499177e-05,0.000121316971163214,6.9866404130897e-05,6.094163814619e-05,6.54700885009854e-05,6.23236917991031e-05,6.91708493406115e-05,0.000135017800490229,8.75199791453712e-05,7.36185038510475e-05,7.08712081176606e-05,6.35718617965065e-05,6.10137634026141e-05
"ME",0.000162274876872689,0.000160404711817869,0.000178050509485944,0.000139486031593152,6.52731330607479e-05,0.000176624857439532,0.000202449794066504,6.14080198207112e-05,0.000211471394583065,0.000180323037746281,9.16244703338318e-05,6.37481870882328e-05,0.000239740490748208,0.000213069809636384,0.000170589933026696,0.00021065502467874,0.000197060697751308,0.000204621156117901,0.000127093785016511,0.000179501790013126,7.22487780831695e-05,0.00029330980979645,0.000237975233042445,0.000239831132593593,0.000218242008782976,0.000113814306657375,0.000243351023681756,0.000184163787934203,0.000211333972587784,0.000223270370455022,0.000259287598386408,0.000116734371110155,6.89931430365365e-05,0.000106446580084683,9.35427488776015e-05,0.000233567174667225,0.000155560994449698,0.000235034151211379,0.000242571064155691,0.000210064173285726,0.000168353704353167,0.000220256730954764,0.000180596263254795,6.37022835117238e-05,0.000141103097732086,0.000208925691271695,0.000254663970730655,0.000212783243089029,0.000251349480236367,0.000221354101969274,0.000213113537525912
"MI",0.000155851497956918,0.000195232621380297,0.000206261590753656,0.000147344065108901,6.61762414283507e-05,0.00017447167674223,0.000182171170365323,6.26033428570303e-05,0.000233593040027866,0.000193973967599568,0.000151740657785499,6.24816905155164e-05,0.000245101064626014,0.000227934219801563,0.000195736554516206,0.000241213336637185,0.000213871319532051,0.000229715220678178,0.000181851771852766,0.000164712637678337,8.94792945210205e-05,0.000237975233042445,0.000291063394467291,0.000242371142284009,0.000244062496718747,0.00015641468810626,0.000232576128868374,0.000218986216422755,0.000220213177338088,0.000236486827204584,0.000232691060154939,0.000115305585317236,6.68716431526397e-05,0.000129334347465277,0.000110181988140895,0.000260690294715727,0.000179543954918559,0.000235619286757335,0.000257090975081686,0.000207436275161972,0.000206256644915439,0.000223577679054663,0.000214730720212864,6.55944933676343e-05,0.000166428764964638,0.000227621871899415,0.000214938777308734,0.000208784690430027,0.000254291982742672,0.000234040731881732,0.000218097582661009
"MN",0.000188624216004964,0.000165233382107783,0.000193960476623655,0.000150028796673228,6.66047782115122e-05,0.000222167554371656,0.000181942877982518,6.19141844022385e-05,0.000187728762961281,0.00015104431712656,0.000101406846790683,6.35671826182572e-05,0.000252656137777196,0.000242258920880601,0.000183760757889611,0.000236722888010805,0.000234530485646784,0.000225671170034814,0.000133730022876367,0.000180949128778125,6.96186402531843e-05,0.000239831132593593,0.000242371142284009,0.000292723394239188,0.000239846494758937,0.000116448307033729,0.000246660210137457,0.000190848631142373,0.000240267432398726,0.000252731855649305,0.000245691058868564,0.000108107893591736,6.52810487832256e-05,0.000106498255021942,9.85560083150315e-05,0.000247085594406552,0.000185107912809585,0.000254501018367206,0.000245485803271146,0.00020826052042868,0.000166684269779658,0.000238340273356718,0.000202126662552723,6.42839785260782e-05,0.000198098361365089,0.000222622116915506,0.000227415170616291,0.000233892247554465,0.000255534772932294,0.000226505153692699,0.000231394241487239
"MO",0.000188784578264313,0.000226038978381642,0.000242831117869568,0.000124731832399424,6.19773483301156e-05,0.000177329828107683,0.00012569599399301,6.33943955238697e-05,0.000185126324043315,0.000150236283296316,0.000167042985438086,6.38801581714509e-05,0.000252080927395812,0.000246197869701015,0.000139721688380983,0.000260256042686261,0.000249333455505946,0.00025804327336569,0.000197760147794056,0.000115101712895232,6.63101710952539e-05,0.000218242008782976,0.000244062496718747,0.000239846494758937,0.000292099710693008,0.000184363171311564,0.000245523697926838,0.000242300435877872,0.000246702501769356,0.000246611182050687,0.000208918627577996,6.95815719767532e-05,6.53030729486255e-05,8.9581500974844e-05,6.81851197277553e-05,0.000252585397623042,0.000225798023048666,0.000227634083543726,0.00023033238131402,0.000156673399189233,0.000226107797424653,0.000248483106329098,0.000249944107503014,6.64288569023365e-05,0.000166242104977238,0.000214822354416453,0.000186483075469825,0.000184369959044878,0.000239528978613766,0.000255365133062469,0.000247741781033621
"MS",9.93674616503441e-05,0.000245013128006828,0.000218976521431993,6.13839965651723e-05,7.18051555562911e-05,6.49922012789811e-05,5.75083251227936e-05,6.13787935329264e-05,0.000135318610461657,9.14264577905125e-05,0.00024930945169501,6.32031059527974e-05,0.000148339728890412,0.000137520898746076,5.97549201361805e-05,0.00018031854348442,0.000158141312573311,0.000191292125893713,0.000247809534622189,5.85865073912417e-05,6.9606377147607e-05,0.000113814306657375,0.00015641468810626,0.000116448307033729,0.000184363171311564,0.00030083629791704,0.000140319879580823,0.000228799602160903,0.000149042349677957,0.000129964380459831,8.9556603008454e-05,6.62811412297582e-05,6.46239879412188e-05,6.19839646990548e-05,6.87206062802381e-05,0.00016193312831883,0.000185694485522561,9.77233646261751e-05,0.000125630927949041,6.0825172738594e-05,0.000241268276479541,0.000154141691254653,0.000214791803231535,6.34913125597373e-05,6.72709631253868e-05,0.000139467930567622,8.12174740390791e-05,6.59352906012582e-05,0.00012840913946529,0.00018333335512311,0.000158103963152773
"MT",0.000207582545701187,0.000191895884888414,0.000219455288002572,0.000135741500452419,6.13524196857981e-05,0.000192430807420953,0.000153102916606594,6.48504963270645e-05,0.000174666335131333,0.000149136111431311,0.000109661475690378,6.28195391896086e-05,0.000258589756639977,0.000246380567478568,0.000136330136256896,0.000241471667090755,0.000242564302856981,0.000240736161816092,0.000145329021352983,0.000137600948688201,6.28925190579029e-05,0.000243351023681756,0.000232576128868374,0.000246660210137457,0.000245523697926838,0.000140319879580823,0.000294937055862512,0.000208097899766965,0.000247114102519619,0.00024623604670123,0.000236450362826977,7.38038989136753e-05,6.7348498187438e-05,8.62850235594975e-05,6.77617572863874e-05,0.000237435578469841,0.000210344563294783,0.000241487142801799,0.000228746390030427,0.000174177945056618,0.000187272907856266,0.000255025868598377,0.000219419894308178,6.80904090070117e-05,0.000161261429919514,0.000199621505099779,0.000223605697264142,0.00020355079900296,0.000246755681992452,0.000250405532655522,0.000251206486462351
