"","AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","MS","MT","NC","ND","NE","NH","NJ","NM","NV","NY","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VA","VT","WA","WI","WV","WY"
"IN",0.776678045888235,0.848598498719305,0.934396397254104,0.527721343593634,0.239267079674265,0.690200070975543,0.454128119050426,0.245872114581823,0.682196546805414,0.570276646029473,0.622711109535559,0.242478661639553,0.970130976658486,0.970235330910133,0.546744370984296,1.01149014412465,0.966363228148202,0.99457929003342,0.745734575306265,0.4193531674967,0.247656321278302,0.809900133328488,0.927386915175645,0.910122599041928,1.0005999334343,0.693266218702116,0.928380111844502,0.906138288357099,0.95634165624439,0.960574248954714,0.769949048699884,0.267497943231118,0.257492495381807,0.391464059344263,0.267783570594759,0.962210804646163,0.889216932177456,0.884036055146327,0.872150567184729,0.602265238195164,0.839339920524848,0.963267825787636,0.95100771464216,0.262745959647378,0.679520212327435,0.760911558041134,0.679920451400905,0.722595674692855,0.916172002280744,0.975977904198299,0.957346408662692
"KS",0.850708969747305,0.790331224665292,0.914861043444864,0.497379408088634,0.243261414111099,0.769852975993121,0.404992035881888,0.256890008294808,0.524359321291619,0.455069728480897,0.507920171977185,0.250095014428109,0.935182512147353,0.965869042907259,0.457741164348481,0.966363228148202,1.00805580741194,0.974018493885745,0.623724456242083,0.402198309681881,0.23448702029159,0.757634362750126,0.822265742145525,0.901693524209088,0.958606134202024,0.608001970677858,0.932580941395543,0.836389047990772,0.976573808042509,0.947257502805191,0.747055152738786,0.253187136715642,0.250807763052026,0.300899159046708,0.251211082232096,0.871811981240499,0.927721212846795,0.880570933541551,0.790962882564321,0.540745494630337,0.746162309062939,0.979219848891669,0.927381026523507,0.256046661569755,0.698066898407735,0.715262474346517,0.650233951381754,0.717463787994596,0.854056801460008,0.946919293524689,0.980857618550188
"KY",0.782283797312514,0.894980154824625,0.97668221794792,0.466068912727313,0.242454735413384,0.642883715633512,0.395641318772479,0.253009072426396,0.636500418528798,0.541733490510555,0.641461903021108,0.249223640892247,0.940392931957406,0.937598178292744,0.456621803703753,0.99457929003342,0.974018493885745,1.00996341947575,0.7615117388668,0.349262210850748,0.244420102058207,0.786701868965403,0.883180394764238,0.86763233385165,0.992092554270242,0.735456078022732,0.925552333010733,0.940148477131869,0.949952577958758,0.915215969641901,0.739245954950998,0.249491937883475,0.251803454522403,0.3249749372826,0.246772457566091,0.920024697193916,0.930132002474556,0.840946205084513,0.825057710311768,0.524788209742422,0.875520001989203,0.968241171442173,0.986602575289341,0.253966952932963,0.600960307381534,0.734999996520701,0.652661576390586,0.653792096249955,0.87139772421261,0.993247837604462,0.971751926725873
"LA",0.364936532855333,0.93746907384019,0.838944375422172,0.249435175227706,0.246101185596093,0.251633228258697,0.250144303128733,0.249424640648517,0.648835575993447,0.432518651273624,0.962579895509039,0.263820011124094,0.618004448747417,0.587357982838066,0.309152176135073,0.745734575306265,0.623724456242083,0.7615117388668,1.01686321507535,0.242675624564252,0.324763778455272,0.48863431378897,0.699160983670764,0.514148492412024,0.760323520930627,0.952747153487847,0.558742873329423,0.889598103504418,0.619542764643788,0.577218852998604,0.408400252336329,0.239217363524114,0.237833837559289,0.255706505975838,0.241336901363762,0.715700911862912,0.682623608079516,0.418001771704363,0.583838117736757,0.270296809235479,0.952308814195154,0.61562433379024,0.840802527109018,0.250152933114795,0.337317309326324,0.630006786655798,0.361430857729574,0.268730714670525,0.570969180970023,0.725231969423675,0.633951688125232
"MA",0.308873977186907,0.235945246457397,0.254605301335414,0.626391595376917,0.411475288711904,0.754692790768048,0.988637851945871,0.360236237628368,0.695558935521099,0.595773562142905,0.24377298368863,0.293985218542814,0.545531978768927,0.479637070147265,0.893215269976,0.4193531674967,0.402198309681881,0.349262210850748,0.242675624564252,1.05850104604452,0.554578767870446,0.690126066947813,0.633266580847126,0.695690614294982,0.442528692407659,0.22524608762492,0.529030944591315,0.276053447175557,0.451399616402919,0.568114374577017,0.782250498484454,0.868776963981428,0.300776712120814,0.566956806268102,0.803174208546046,0.5937300604414,0.236507182561909,0.694071336142239,0.733047976549178,0.932831611056268,0.254515829611001,0.433938285378475,0.27135191008981,0.249148108896196,0.597472911767722,0.704304189144755,0.76535828855416,0.843313805130728,0.677517156036961,0.379636315064266,0.397214948752936
"MD",0.218671985945606,0.262708571096602,0.2469429904483,0.261316273745383,0.277657286857721,0.265173309484742,0.566871361298888,0.764334122339808,0.603643533980328,0.451272820294357,0.387657269424188,0.246490639361067,0.246316427734866,0.236334502935728,0.566136849240037,0.247656321278302,0.23448702029159,0.244420102058207,0.324763778455272,0.554578767870446,1.08923790652933,0.277773079904535,0.344018817843216,0.267661054414395,0.25494106534123,0.267613906757428,0.241801303567485,0.263252780399282,0.238183747645497,0.248695934424775,0.319441227007255,0.66812479611923,0.245704518859807,0.287945615411759,0.709706180699978,0.289225948167315,0.23802779327747,0.262120294193161,0.375498450403374,0.466424341265722,0.268613626031899,0.234300800254479,0.251711220688141,0.239614347555183,0.265939443831647,0.519099578970509,0.336485886756521,0.283039230492301,0.272476770925262,0.244413155695911,0.234578098433734
"ME",0.623894182517066,0.616704005451247,0.68454636480563,0.536278475944451,0.250953991006335,0.679065195845953,0.778353687299131,0.236093886277244,0.813038810392407,0.693283497678898,0.35226632192938,0.245091069158911,0.921724301223406,0.819184196987249,0.655862872074955,0.809900133328488,0.757634362750126,0.786701868965403,0.48863431378897,0.690126066947813,0.277773079904535,1.01491283666592,0.914937458832931,0.922072789671637,0.839069622387453,0.43757903366926,0.935605627380837,0.708049934387555,0.812510467465529,0.858402039427228,0.996876579724751,0.448805732834121,0.265256220824823,0.409252518587787,0.359641479729341,0.897989906448385,0.598081485773542,0.903629954676581,0.932606936392507,0.807628501675224,0.647265299320133,0.846815574605013,0.694333960994982,0.244914584820161,0.542495569904212,0.803251408195675,0.979100233489639,0.818082441710993,0.966357094334359,0.851034609647342,0.819352316516388
"MI",0.599198377381463,0.75060600299999,0.793008807203597,0.566490061933491,0.254426149282394,0.670786915579506,0.70038896718694,0.240689515021262,0.89808935035704,0.745766888118293,0.583393532431752,0.240221801289951,0.942333966266873,0.876333024996398,0.752543462192255,0.927386915175645,0.822265742145525,0.883180394764238,0.699160983670764,0.633266580847126,0.344018817843216,0.914937458832931,1.00713977324322,0.931838301745518,0.93834101006823,0.601363660539253,0.894179657317855,0.841930858987908,0.846648125098376,0.909215021932271,0.89462153077639,0.443312515637202,0.257099742993617,0.497248548501642,0.423613949023049,1.00226949140995,0.690288177310876,0.905879610754845,0.988431276746197,0.797525087127918,0.792989792062432,0.859583541155953,0.825569858565414,0.252189516984369,0.639864532736018,0.875132148786679,0.826369770506474,0.802709305767115,0.977670060525461,0.89981058009124,0.83851435086893
"MN",0.725198831237849,0.635268674001472,0.745715019698789,0.576811982596031,0.256073733992742,0.854162069864112,0.699511257141553,0.238039924652974,0.721756105195236,0.580716328821836,0.389876381355953,0.244395165775691,0.971380768078417,0.931406846907346,0.706500414800505,0.910122599041928,0.901693524209088,0.86763233385165,0.514148492412024,0.695690614294982,0.267661054414395,0.922072789671637,0.931838301745518,1.01288371709062,0.9221318522066,0.447705909395343,0.948328374230901,0.733750984784209,0.923750220679453,0.971671878697828,0.94460230245507,0.415639729303097,0.250984424387642,0.409451191933648,0.378915833583358,0.949963838548835,0.711679787810785,0.978473734591334,0.943813161365419,0.800694042401691,0.640846865742629,0.91634092024882,0.77711135160601,0.247151013172157,0.761623842234097,0.855909715169188,0.874337449505157,0.899239706091753,0.982448185053032,0.870838730075734,0.889635684303112
"MO",0.725815372027348,0.86904643745345,0.933606758437401,0.479553373315741,0.238282769435277,0.681775579037611,0.483260261411036,0.243730855531986,0.711750573023127,0.577609701254579,0.642226010911518,0.245598455099773,0.969169271033494,0.946550825455652,0.537184499734651,1.0005999334343,0.958606134202024,0.992092554270242,0.760323520930627,0.442528692407659,0.25494106534123,0.839069622387453,0.93834101006823,0.9221318522066,1.01072564253636,0.708816498698824,0.943958854005527,0.931566458584667,0.948490971816054,0.948139877165271,0.80322425058822,0.267518538934076,0.251069100148503,0.344411768453841,0.262149633709171,0.971108795167404,0.86812004247853,0.875179098591794,0.885553176908957,0.602358320604509,0.869311024316237,0.955336817874273,0.96095389274515,0.255397373711405,0.639146885725635,0.825922162308546,0.716966841483373,0.70884259532825,0.920911105781493,0.981795974865318,0.952486662951255
"MS",0.382035608036694,0.941995878534516,0.841893584898089,0.236001524664253,0.276067495410577,0.249873899573168,0.221100827077254,0.235981520695603,0.520256095584993,0.351505028029652,0.958513847347213,0.242995409276422,0.570318065707084,0.528723178570072,0.229738255041063,0.693266218702116,0.608001970677858,0.735456078022732,0.952747153487847,0.22524608762492,0.267613906757428,0.43757903366926,0.601363660539253,0.447705909395343,0.708816498698824,1.04095604815585,0.539484350560641,0.879660139026926,0.573019414371229,0.499670820683703,0.344316043861799,0.254829454939478,0.248458238912798,0.238308207224355,0.264208405537248,0.622580270353055,0.713934969329338,0.375714589104864,0.483010103610307,0.233853028598977,0.927598141020918,0.592624726084785,0.825804702927855,0.244103470048971,0.258634998559734,0.53620888338186,0.312254802149478,0.253499771631135,0.493691424318687,0.7048571900158,0.607858374289786
